Player,Team,Pos,Matrix,iXG_pct,iXA_pct,Med10_SOG,i5v5_points60,i5v5_iCF60,Conf_Point,Conf_SOG,Conf_Goal,Reg_P10,Reg_G10,Reg_SOG10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S
Trevor van Riemsdyk,WSH,D,Red,32.292917166866744,43.037214885954384,,0.0,,45.0,38.0,37.0,,,,COOL,COOL,COOL
Trevor van Riemsdyk,WSH,D,Red,32.292917166866744,43.037214885954384,,0.0,,45.0,38.0,37.0,,,,COOL,COOL,COOL
Sean Durzi,UTA,D,Red,37.99519807923169,67.52701080432173,,0.02477746168670276,,63.0,42.0,41.0,,,,COOL,COOL,COOL
Sean Durzi,UTA,D,Red,37.99519807923169,67.52701080432173,,0.0,,63.0,42.0,41.0,,,,COOL,COOL,COOL
Sean Durzi,UTA,D,Red,37.99519807923169,67.52701080432173,,0.053428317008014245,,63.0,42.0,41.0,,,,COOL,COOL,COOL
Mark Stone,VGK,R,Yellow,85.05402160864347,92.67707082833134,,0.04314329738058552,,81.0,73.0,75.0,,,,COOL,COOL,COOL
Mark Stone,VGK,R,Yellow,85.05402160864347,92.67707082833134,,0.032,,81.0,73.0,75.0,,,,COOL,COOL,COOL
Mark Stone,VGK,R,Yellow,85.05402160864347,92.67707082833134,,0.1635563011113441,,81.0,73.0,75.0,,,,COOL,COOL,COOL
Adam Fantilli,CBJ,C,Yellow,94.9579831932773,79.59183673469387,,0.027024878785470153,,71.0,79.0,82.0,,,,COOL,COOL,COOL
Adam Fantilli,CBJ,C,Yellow,94.9579831932773,79.59183673469387,,0.0,,71.0,79.0,82.0,,,,COOL,COOL,COOL
Adam Fantilli,CBJ,C,Yellow,94.9579831932773,79.59183673469387,,0.021774632553075667,,71.0,79.0,82.0,,,,COOL,COOL,COOL
Vinnie Hinostroza,MIN,C,Red,42.1968787515006,36.97478991596639,,0.012859668863526763,,41.0,45.0,44.0,,,,COOL,COOL,COOL
Vinnie Hinostroza,MIN,C,Red,42.1968787515006,36.97478991596639,,0.0,,41.0,45.0,44.0,,,,COOL,COOL,COOL
Vinnie Hinostroza,MIN,C,Red,42.1968787515006,36.97478991596639,,0.06018054162487462,,41.0,45.0,44.0,,,,COOL,COOL,COOL
Rasmus Andersson,CGY,D,Yellow,73.52941176470588,88.35534213685474,,0.02342404409231829,,78.0,65.0,67.0,,,,COOL,COOL,COOL
Rasmus Andersson,CGY,D,Yellow,73.52941176470588,88.35534213685474,,0.0,,78.0,65.0,67.0,,,,COOL,COOL,COOL
Rasmus Andersson,CGY,D,Yellow,73.52941176470588,88.35534213685474,,0.0488997555012225,,78.0,65.0,67.0,,,,COOL,COOL,COOL
Jonathan Drouin,NYI,L,Yellow,80.43217286914765,85.1140456182473,,0.02226495293998583,,75.0,70.0,72.0,,,,COOL,COOL,COOL
