Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,Med10_SOG,Trim10_SOG,Avg5_SOG,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,i5v5_oiGF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result
2026-01-05,MIN@LAK,Kevin Fiala,LAK,L,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,92.6,79.6,3.0,2.375,2.6,6.0,3.0,23.0,2.0,3.0,1.3166408777605851,,,1.7217611478407653,,,,50.0,51.7,50.0,6.78,3.28,23.75,0.78,0.28,0.75,COOL,COOL,COOL,Yellow,Yellow,Yellow,62,73,70,SOG,73,,,
2026-01-05,ANA@WSH,Mason McTavish,ANA,C,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,94.0,85.1,3.0,2.875,3.6,6.0,3.0,29.0,2.0,2.0,1.8269202065733305,,,3.0090450461207796,,,,50.0,68.0,50.0,7.37,3.47,28.75,1.37,0.47,-0.25,WARM,COOL,COOL,Green,Yellow,Yellow,69,73,71,SOG,73,,,
2026-01-05,DET@OTT,Andrew Copp,DET,C,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,85.2,86.9,1.5,1.75,2.4,6.0,2.0,19.0,2.0,0.0,1.6071428571428572,,,2.5255102040816326,,,,50.0,61.6,50.0,6.26,2.3,17.5,0.26,0.3,-1.5,COOL,COOL,COOL,Green,Red,Yellow,70,67,72,GOAL,72,,,
2026-01-05,ANA@WSH,Anthony Beauvillier,WSH,L,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,86.7,48.7,2.0,2.125,2.0,3.0,2.0,22.0,2.0,1.0,1.2374677742767115,,,2.8874248066456603,,,,50.0,60.6,50.0,3.89,2.46,21.25,0.89,0.46,-0.75,COOL,COOL,COOL,Red,Red,Yellow,50,70,72,GOAL,72,,,
2026-01-05,DET@OTT,Claude Giroux,OTT,R,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,72.0,91.4,2.0,2.0,2.0,9.0,3.0,20.0,1.0,3.0,2.062133566951951,,,3.517757261270975,,,,50.0,71.1,50.0,6.75,1.75,20.0,-2.25,-1.25,0.0,COOL,COOL,COOL,Green,Red,Red,72,60,58,POINTS,72,,,
2026-01-05,UTA@NYR,John Marino,UTA,D,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,46.2,82.5,0.5,0.5,0.2,1.0,0.0,5.0,0.0,0.0,1.1242220784724855,,,3.6135709665187035,,,,50.0,62.0,50.0,4.28,0.71,5.0,3.28,0.71,0.0,HOT,COOL,COOL,Green,Red,Red,72,35,35,POINTS,72,,,
2026-01-05,UTA@NYR,Nick Schmaltz,UTA,C,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,89.8,93.6,2.0,2.625,3.2,10.0,3.0,29.0,2.0,3.0,2.399133646183323,,,2.8989531558048482,,,,50.0,70.0,50.0,7.99,2.75,26.25,-2.01,-0.25,-2.75,COOL,COOL,COOL,Green,Red,Yellow,71,66,69,POINTS,71,,,
2026-01-05,MIN@LAK,Quinton Byfield,LAK,R,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,89.2,86.9,2.5,2.25,2.4,4.0,2.0,22.0,2.0,2.0,0.9612246714332334,,,1.8156466015961077,,,,50.0,47.9,50.0,7.26,2.9,22.5,3.26,0.9,0.5,HOT,COOL,COOL,Yellow,Red,Yellow,71,68,68,POINTS,71,,,
2026-01-05,MIN@LAK,Quinn Hughes,MIN,D,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,66.6,98.7,2.0,1.75,1.8,11.0,0.0,18.0,0.0,8.0,0.9920929345176266,,,2.8999639624361393,,,,50.0,56.4,50.0,10.19,1.54,17.5,-0.81,1.54,-0.5,COOL,WARM,COOL,Green,Red,Red,71,53,47,POINTS,71,,,
2026-01-05,SEA@CGY,Mikael Backlund,CGY,C,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,83.2,85.1,3.0,3.25,3.0,10.0,5.0,33.0,1.0,4.0,2.077385652675697,,,2.842738261556217,,,,50.0,67.8,50.0,6.18,2.28,32.5,-3.82,-2.72,-0.5,COOL,COOL,COOL,Green,Yellow,Red,67,70,63,SOG,70,,,
2026-01-05,MIN@LAK,Marcus Johansson,MIN,L,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,71.5,91.4,1.0,1.5,1.4,9.0,1.0,15.0,1.0,3.0,2.0905284391332253,,,3.1908065649928177,,,,50.0,70.3,50.0,6.55,1.68,15.0,-2.45,0.68,0.0,COOL,COOL,COOL,Green,Red,Red,70,51,54,POINTS,70,,,
