Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-05,SEA@CGY,Jordan Eberle,SEA,R,CGY,Dustin Wolf,0.900355871886121,2.8630941109638326,45.7,97.0,76.5,1150.79,79.8,86.4,1.044,2.0,2.125,2.2,2.0700000000000003,63.9,9.0,5.0,24.0,2.0,3.0,1.2100162455884824,,,2.418980739040159,2.3092894883438277,50.0,57.2,56.0,57.2,7.84,4.36,20.7,-1.16,-0.64,-3.3,COOL,COOL,COOL,Yellow,Red,Yellow,62,80,78,SOG,80,,,,,False
2026-01-05,SEA@CGY,Mikael Backlund,CGY,C,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,83.2,85.1,1032.32,63.2,79.9,1.036,3.0,3.25,3.0,3.0,89.1,10.0,5.0,33.0,1.0,4.0,2.077385652675697,,,2.4967343515718317,2.5311952019111033,50.0,72.6,69.7,72.6,6.4,2.36,30.0,-3.6,-2.64,-3.0,COOL,COOL,COOL,Green,Yellow,Red,69,80,66,SOG,80,,,,,False
2026-01-05,DET@OTT,Dylan Larkin,DET,C,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,99.2,86.9,1236.21,87.9,92.6,1.051,2.0,2.0,1.2,1.72,41.6,5.0,4.0,19.0,1.0,1.0,1.7129262490087231,,,2.03697721571188,1.5773737929138458,50.0,13.9,64.9,13.9,8.84,4.68,17.2,3.84,0.68,-1.8,HOT,COOL,COOL,Green,Red,Yellow,79,75,75,POINTS,79,,,,🔥 HOT POINTS,True
2026-01-05,SEA@CGY,Blake Coleman,CGY,L,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,89.0,59.1,1025.95,62.3,73.2,1.028,2.5,2.5,2.6,2.535,77.2,8.0,5.0,25.0,3.0,1.0,1.777997283615261,,,2.4967343515718317,2.5311952019111033,50.0,72.6,65.9,72.6,4.82,2.82,25.35,-3.18,-2.18,0.35,COOL,COOL,COOL,Red,Red,Yellow,55,79,77,SOG,79,,,,,False
2026-01-05,MIN@LAK,Kevin Fiala,LAK,L,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,92.6,79.6,1140.2,78.5,85.2,1.042,3.0,2.375,2.6,2.8600000000000003,85.1,6.0,3.0,23.0,2.0,3.0,1.3166408777605851,,,2.4001480373485893,1.915233197375421,50.0,42.8,57.8,42.8,7.07,3.42,28.6,1.07,0.42,5.6,WARM,COOL,HOT,Yellow,Yellow,Yellow,64,79,71,SOG,79,,,,,False
2026-01-05,ANA@WSH,Connor McMichael,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,86.9,85.1,1015.62,61.1,81.1,1.037,1.5,1.5,1.4,1.465,32.2,4.0,0.0,16.0,0.0,2.0,1.9907834101382489,,,2.566977363515313,2.1870838881491346,50.0,72.0,68.7,72.0,6.54,2.59,14.65,2.54,2.59,-1.35,HOT,HOT,COOL,Green,Red,Yellow,78,70,69,POINTS,78,,,,🔥 HOT POINTS,True
2026-01-05,ANA@WSH,Dylan Strome,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,82.9,94.4,1100.4,74.5,85.2,1.042,2.0,2.375,2.6,2.21,66.8,10.0,4.0,23.0,3.0,3.0,2.0921717905503576,,,2.566977363515313,2.1870838881491346,50.0,72.0,70.1,72.0,8.39,2.4,22.1,-1.61,-1.6,-0.9,COOL,COOL,COOL,Green,Red,Red,77,78,78,SOG,78,,,,,False
2026-01-05,UTA@NYR,Clayton Keller,UTA,R,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,94.5,94.4,1154.86,80.6,91.7,1.05,2.5,2.75,3.0,2.675,79.7,8.0,3.0,28.0,2.0,4.0,1.5328117515567619,,,2.3089910965539513,2.1589703372237854,50.0,41.9,63.1,41.9,9.36,3.61,26.75,1.36,0.61,-1.25,WARM,COOL,COOL,Green,Red,Yellow,74,78,72,SOG,78,,,,,False
2026-01-05,DET@OTT,Drake Batherson,OTT,R,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,89.3,93.6,1096.19,74.1,87.8,1.045,1.0,1.75,2.6,1.56,37.6,9.0,3.0,19.0,2.0,1.0,2.409101048405086,,,2.521235430688774,2.4483478342440375,50.0,73.6,72.8,73.6,9.46,3.24,15.6,0.46,0.24,-3.4,COOL,COOL,COOL,Green,Red,Yellow,77,71,76,POINTS,77,,,,,False
2026-01-05,ANA@WSH,Beckett Sennecke,ANA,R,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,90.5,88.4,1005.85,59.5,83.6,1.04,1.5,1.875,2.6,1.885,48.0,5.0,3.0,21.0,2.0,1.0,2.3796522488863343,,,2.53865686440473,2.321588353365094,50.0,74.6,72.0,74.6,7.63,3.07,18.85,2.63,0.07,-2.15,HOT,COOL,COOL,Green,Red,Yellow,77,68,71,POINTS,77,,,,🔥 HOT POINTS,True
